Actor,Degree,Weighted Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Degree Rank,Betweenness Rank,Closeness Rank,Eigenvector Rank,Average Rank
יוסף שילוח,180,259.0,0.05705229793977813,0.080866947851735,0.5667227722559973,0.2288692586217018,6,1,1,1,2.25
זאב רווח,187,263.0,0.05927099841521395,0.06776439326105094,0.5602345513119737,0.2014603851278238,5,2,3,5,3.75
גילה אלמגור,216,276.0,0.06846275752773376,0.06549059060294343,0.5567902218928765,0.18382933514451283,2,3,6,7,4.5
גבי עמרני,175,242.0,0.05546751188589541,0.05147367288571883,0.5631902138631159,0.21024616610786856,8,4,2,4,4.5
עמוס לביא,177,204.0,0.05610142630744849,0.05066322606692862,0.5334061805868903,0.07117941871875778,7,5,12,44,17.0
משה איבגי,205,238.0,0.06497622820919176,0.04770360529656395,0.5430389868872697,0.09029525412127498,3,6,8,30,11.75
אלון אבוטבול,224,252.0,0.07099841521394612,0.04537925360008993,0.5240067246665462,0.07497614575504637,1,7,20,38,16.5
לבנה פינקלשטיין,158,186.0,0.05007923930269414,0.0401851594759751,0.539717882609986,0.10206729957125875,11,8,10,20,12.25
אבנר חזקיהו,111,172.0,0.03518225039619652,0.03997731015308686,0.5599182628134702,0.19158108210475605,34,9,4,6,13.25
גדעון זינגר,126,201.0,0.03993660855784469,0.038684710711792414,0.5545540539267146,0.21278997190681115,21,10,7,3,10.25
אסי דיין,202,235.0,0.06402535657686212,0.0374928535548676,0.512648771134262,0.09747800175855995,4,11,35,23,18.25
צחי גראד,160,178.0,0.05071315372424723,0.03713393074087724,0.5107184430165601,0.03657193722076085,10,12,37,107,41.5
אורי גבריאל,166,192.0,0.0526148969889065,0.03528131028562632,0.5297916177752375,0.06676206100004191,9,13,13,49,21.0
שייקה אופיר,121,199.0,0.03835182250396196,0.03449053968703955,0.5598500120350912,0.22581456406768355,24,14,5,2,11.25
אלברט אילוז,156,182.0,0.04944532488114105,0.034200915919645164,0.5380880509680529,0.065725055019556,12,15,11,53,22.75
צחי נוי,142,195.0,0.045007923930269415,0.03282381922025894,0.5213242839631216,0.11235952482569483,14,16,23,15,17.0
אריה מוסקונה,156,187.0,0.04944532488114105,0.032108736072428784,0.5416690198880675,0.11627325979326775,12,17,9,14,13.0
מוני מושונוב,137,164.0,0.043423137876386686,0.02947103594738603,0.5182642880766396,0.055907526671560556,16,18,28,67,32.25
ליאור אשכנזי,137,150.0,0.043423137876386686,0.022400645953690675,0.5049364698231771,0.03380347134115457,16,19,44,123,50.5
יחזקאל לזרוב,104,113.0,0.0329635499207607,0.021792668753279582,0.5064203465101738,0.0312910572229068,41,20,38,137,59.0
